Date,Prev Close,Open,High,Low,Last,Close,VWAP,Volume,Turnover,Trades,Deliverable Volume,%Deliverble
2016-03-30,372.45,380.5,391.5,376.8,391.1,388.6,383.25,10295891,3.94590723995e+14,126689,5171400,0.5023
2016-03-31,388.6,387.9,393.6,380.5,388.7,386.6,387.94,10738707,4.1659528326e+14,115837,5203246,0.4845
2016-04-01,386.6,386.4,386.4,377.7,380.15,379.65,380.66,5683771,2.16356115165e+14,62111,2108467,0.371
2016-04-04,379.65,385.95,391.0,382.4,387.4,388.4,387.25,6011729,2.3280384533e+14,96258,2164588,0.3601
2016-04-05,388.4,386.0,386.0,369.0,370.05,370.5,377.62,6058241,2.2877104835e+14,89624,2345250,0.3871
2016-04-06,370.5,373.7,382.4,372.05,376.25,376.7,378.0,7323269,2.7681645764e+14,88551,2696676,0.3682
2016-04-07,376.7,375.95,384.8,370.3,375.2,375.2,377.63,8724110,3.29446312985e+14,115339,2410088,0.2763
2016-04-08,375.2,375.5,380.05,370.5,371.6,371.45,374.6,4860484,1.8207266997e+14,66676,1380100,0.2839
2016-04-11,371.45,373.95,387.8,373.9,386.0,386.65,381.14,6827449,2.60220579565e+14,92223,2414689,0.3537
2016-04-12,386.65,387.95,397.4,387.15,395.5,395.8,393.05,7702684,3.0275499418e+14,105900,2839081,0.3686
2016-04-13,395.8,400.0,411.75,398.15,408.65,408.75,407.13,12373115,5.0374439909e+14,168964,6662560,0.5385
2016-04-18,408.75,407.65,409.9,402.5,407.0,407.35,406.23,5571076,2.2631167565e+14,77253,2566673,0.4607
2016-04-20,407.35,407.0,410.35,400.65,403.85,404.1,405.83,7589901,3.0802437372e+14,100611,3629564,0.4782
2016-04-21,404.1,408.7,417.2,406.0,410.5,411.5,411.43,9211869,3.79006864645e+14,111112,4678184,0.5078
2016-04-22,411.5,412.1,420.5,408.0,417.1,417.0,416.08,5995998,2.49480423835e+14,75965,2148363,0.3583
2016-04-25,417.0,417.6,417.6,410.0,412.0,412.2,412.76,3272996,1.35095335585e+14,63481,1203343,0.3677
2016-04-26,412.2,408.65,423.65,405.05,418.35,419.05,416.78,6998505,2.9168305808e+14,106925,2904984,0.4151
2016-04-27,419.05,418.95,425.25,414.65,419.1,418.55,420.75,6227941,2.6204082357e+14,95959,2918121,0.4686
2016-04-28,418.55,418.8,420.95,409.7,410.45,411.35,413.77,7546101,3.1223764084e+14,150016,4180794,0.554
2016-04-29,411.35,410.0,413.7,403.05,408.1,408.35,407.72,6251095,2.54871344355e+14,104590,2709408,0.4334
2016-05-02,408.35,407.95,410.45,402.5,408.2,407.7,406.96,4178821,1.70063278215e+14,57962,1414442,0.3385
2016-05-03,407.7,410.9,422.0,407.8,408.85,409.65,415.54,9620804,3.9978666998e+14,104175,2961494,0.3078
2016-05-04,409.65,405.5,405.5,380.1,383.15,381.8,389.08,12069134,4.6958823467e+14,136649,5276917,0.4372
2016-05-05,381.8,384.0,396.05,383.15,389.7,391.15,391.17,9601341,3.75575988085e+14,97494,4320362,0.45
2016-05-06,391.15,388.6,400.9,384.5,397.6,398.7,392.37,9953672,3.9055659699e+14,113433,5292817,0.5317
2016-05-09,398.7,400.35,405.2,395.15,402.65,403.35,400.62,8700283,3.48550107495e+14,103866,3768260,0.4331
2016-05-10,403.35,400.8,400.8,387.15,389.95,388.95,390.89,9166453,3.5830658961e+14,122990,4215780,0.4599
2016-05-11,388.95,384.8,391.95,376.1,380.4,379.85,383.75,11595875,4.4499690687e+14,131335,4527541,0.3904
2016-05-12,379.85,379.0,388.6,379.0,387.0,387.05,385.58,6506343,2.5087105582e+14,72505,2711453,0.4167
2016-05-13,387.05,391.25,394.0,385.5,389.5,389.95,390.35,14027896,5.47584391575e+14,146771,7783927,0.5549
2016-05-16,389.95,393.8,396.7,389.0,390.75,392.7,393.22,8248193,3.2433276464e+14,87893,4095663,0.4966
2016-05-17,392.7,392.6,395.0,386.6,389.5,389.7,391.45,9425555,3.68960409915e+14,90601,4250112,0.4509
2016-05-18,389.7,383.5,387.35,381.6,384.75,384.85,384.67,8589315,3.30407447685e+14,93580,4525540,0.5269
2016-05-19,384.85,386.25,393.3,381.95,384.65,386.9,389.66,10988676,4.2817927089e+14,87631,5758286,0.524
2016-05-20,386.9,386.7,392.7,383.5,384.0,384.45,388.82,6537509,2.54194196885e+14,72726,3313819,0.5069
2016-05-23,384.45,388.55,389.95,380.1,383.3,381.75,386.2,8153090,3.1487557108e+14,89566,4069433,0.4991
2016-05-24,381.75,383.8,391.75,382.65,389.0,389.1,389.07,10568106,4.1116940186e+14,91891,6545991,0.6194
2016-05-25,389.1,394.0,399.95,394.0,396.55,397.0,397.32,8897382,3.5350660993e+14,95924,5066654,0.5695
2016-05-26,397.0,400.5,402.0,396.75,400.0,399.25,399.26,8469732,3.3815927293e+14,89195,5138069,0.6066
